Age Group,Gender,City,Cleanliness of public toilets,Safety of public toilets,Features in public toilets,Public Service Use,Frequency of Public Service Use,Satisfaction of Pulic Transportation,Suggestion for Pulic Transportation,Visting of Local Parks,Frequency of Visting of Local Parks,Important Park amenities,Issues in Park,Safety of Public Transportation,Suggestion for Parks,Satisfaction on Libraries resources,Frequency of Visiting Library,Satisfaction of Local Public Service,Suggestion for Libraries,Suggestion for Local Public Service
71-95,Female,Chennai,Fair,Somewhat safe,Accessible facilities for people with disabilities,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology
36-50 ,Male,Mysuru,Fair,Neutral,Free Wi-Fi,No,A few times a week,Very satisfied,More frequent buses/trains,No,Improved lighting and safety,Picnic area,Lack of amenities,No,Sports equipment rentals,Neutral,Rarely,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
51-70 ,Female,Kanakapura,Good,Somewhat unsafe,Baby-changing facilities,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Playgrounds,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Never,Dissatisfied,Language learning programs,Improve customer service
36-50 ,Female,Chennai,Poor,Very unsafe,Free Wi-Fi,No,Everyday,Unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Safety and security,Sometimes,Public restrooms,Neutral,Rarely,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
18-35 ,Female,Kanakapura,Good,Very unsafe,Baby-changing facilities,No,Once a week,Neutral,More frequent buses/trains,Sometimes,Improved lighting and safety,Sports facilities,Lack of amenities,No,Sports equipment rentals,Satisfied,Weekly,Satisfied,E book access,Improve customer service
18-35 ,Male,Chennai,Good,Neutral,Baby-changing facilities,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Lack of amenities,Yes,Electric vehicle charging stations,Dissatisfied,Quarterly,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
18-35 ,Male,Kanakapura,Poor,Neutral,Accessible facilities for people with disabilities,Yes,Once a week,Very satisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Restrooms,Crowding and noise,No,Sports equipment rentals,Very Satisfied,Rarely,Dissatisfied,Language learning programs,Invest in technology
51-70 ,Male,Kanakapura,Fair,Very unsafe,Accessible facilities for people with disabilities,No,Everyday,Unsatisfied,Reduced fares or free transfers,No,More amenities,Playgrounds,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Rarely,Neutral,E book access,Improve customer service
36-50 ,Male,Mysuru,Good,Somewhat unsafe,Air conditioning or heating,No,Once a week,Neutral,Increased safety and security,No,Increased programming and events,Restrooms,Crowding and noise,Sometimes,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Invest in technology
18-35 ,Male,Hyderabad,Poor,Somewhat safe,Baby-changing facilities,No,Once a week,Unsatisfied,More frequent buses/trains,Sometimes,More amenities,Sports facilities,Lack of amenities,Yes,Public restrooms,Dissatisfied,Never,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
51-70 ,Female,Chennai,Good,Somewhat safe,Baby-changing facilities,Yes,A few times a week,Satisfied,Reduced fares or free transfers,No,Improved lighting and safety,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Weekly,Dissatisfied,E book access,Enhance community engagement
36-50 ,Male,Chennai,Poor,Somewhat safe,Accessible facilities for people with disabilities,Yes,A few times a week,Unsatisfied,Increased safety and security,Sometimes,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Dissatisfied,Monthly,Very Satisfied,E book access,Enhance community engagement
71-95,Female,Tirupati,Good,Very unsafe,Free Wi-Fi,No,Everyday,Very satisfied,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Picnic area,Crowding and noise,No,Public restrooms,Dissatisfied,Monthly,Satisfied,Language learning programs,Enhance community engagement
71-95,Male,Kanakapura,Good,Somewhat unsafe,Air conditioning or heating,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,E book access,Improve customer service
36-50 ,Male,Kolkata,Excellent,Somewhat safe,Comfortable seating areas,No,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Picnic area,Lack of amenities,Sometimes,Public restrooms,Very dissatisfied,Weekly,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
51-70 ,Male,Mysuru,Good,Somewhat unsafe,Accessible facilities for people with disabilities,Yes,Never,Very unsatisfied,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Restrooms,Safety and security,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Increase transparency
18-35 ,Male,Palamaner,Poor,Somewhat unsafe,Comfortable seating areas,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Restrooms,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Very Satisfied,Rarely,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Male,Tirupati,Good,Somewhat unsafe,Air conditioning or heating,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Picnic area,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Dissatisfied,Weekly,Very Satisfied,Language learning programs,Improve customer service
36-50 ,Female,Mysuru,Good,Very safe,Baby-changing facilities,No,Never,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Public restrooms,Satisfied,Rarely,Very Satisfied,E book access,Enhance community engagement
18-35 ,Female,Chennai,Fair,Neutral,Comfortable seating areas,Yes,A few times a week,Neutral,More frequent buses/trains,Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Weekly,Very Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
36-50 ,Male,Kanakapura,Good,Somewhat safe,Comfortable seating areas,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,More amenities,Walking trails,Lack of amenities,No,Public restrooms,Neutral,Rarely,Neutral,E book access,Improve customer service
36-50 ,Male,Bengaluru,Poor,Somewhat safe,Free Wi-Fi,Yes,Once a week,Neutral,Increased safety and security,No,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Satisfied,Rarely,Neutral,E book access,Increase transparency
18-35 ,Female,Bengaluru,Poor,Very unsafe,Accessible facilities for people with disabilities,No,A few times a week,Unsatisfied,More frequent buses/trains,Yes,Increased programming and events,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Quarterly,Dissatisfied,E book access,Enhance community engagement
36-50 ,Female,Mysuru,Fair,Very unsafe,Free Wi-Fi,Yes,A few times a week,Neutral,More frequent buses/trains,Yes,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Public restrooms,Neutral,Quarterly,Very Dissatisfied,Language learning programs,Improve customer service
36-50 ,Male,Bengaluru,Fair,Neutral,Baby-changing facilities,Yes,A few times a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Yes,Sports equipment rentals,Very Satisfied,Never,Neutral,E book access,Increase transparency
51-70 ,Female,Mysuru,Poor,Somewhat unsafe,Free Wi-Fi,No,Everyday,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Safety and security,No,Electric vehicle charging stations,Satisfied,Weekly,Neutral,"DIY workshop(crafting,painting)",Enhance community engagement
36-50 ,Male,Bengaluru,Good,Somewhat safe,Baby-changing facilities,Yes,Once a week,Satisfied,More frequent buses/trains,No,More amenities,Sports facilities,Maintenance and cleanliness,Sometimes,Public restrooms,Neutral,Quarterly,Dissatisfied,Language learning programs,Invest in technology
71-95,Female,Chennai,Poor,Very unsafe,Comfortable seating areas,Yes,Once a week,Unsatisfied,Increased safety and security,No,Increased programming and events,Sports facilities,Lack of amenities,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Neutral,E book access,Invest in technology
36-50 ,Male,Hyderabad,Excellent,Somewhat unsafe,Comfortable seating areas,No,Everyday,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Sports facilities,Maintenance and cleanliness,Yes,Sports equipment rentals,Satisfied,Quarterly,Very Dissatisfied,"DIY workshop(crafting,painting)",Enhance community engagement
18-35 ,Male,Hyderabad,Good,Somewhat unsafe,Comfortable seating areas,Yes,Once a week,Very satisfied,More frequent buses/trains,Yes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Yes,Public restrooms,Neutral,Monthly,Dissatisfied,E book access,Improve customer service
36-50 ,Female,Mysuru,Good,Somewhat safe,Charging stations for phones and devices,No,Never,Very unsatisfied,Increased safety and security,Sometimes,Improved lighting and safety,Walking trails,Maintenance and cleanliness,Sometimes,Public restrooms,Very Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Invest in technology
18-35 ,Male,Hyderabad,Fair,Neutral,Comfortable seating areas,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Sports facilities,Safety and security,Yes,Sports equipment rentals,Dissatisfied,Quarterly,Very Satisfied,E book access,Improve customer service
71-95,Female,Palamaner,Fair,Neutral,Accessible facilities for people with disabilities,No,Everyday,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Picnic area,Accessibility and inclusivity,Yes,Sports equipment rentals,Dissatisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service
71-95,Female,Chennai,Excellent,Neutral,Comfortable seating areas,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Safety and security,Sometimes,Public restrooms,Neutral,Quarterly,Dissatisfied,E book access,Enhance community engagement
18-35 ,Female,Chennai,Good,Somewhat unsafe,Accessible facilities for people with disabilities,No,Once a week,Satisfied,More frequent buses/trains,Yes,Increased programming and events,Playgrounds,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Satisfied,Quarterly,Neutral,"DIY workshop(crafting,painting)",Improve customer service
36-50 ,Female,Bengaluru,Poor,Somewhat unsafe,Comfortable seating areas,Yes,Once a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Safety and security,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Very Dissatisfied,Language learning programs,Improve customer service
36-50 ,Female,Bengaluru,Good,Somewhat unsafe,Air conditioning or heating,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Sports facilities,Maintenance and cleanliness,Yes,Public restrooms,Neutral,Rarely,Very Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
18-35 ,Female,Palamaner,Good,Very safe,Baby-changing facilities,Yes,Once a week,Satisfied,Increased safety and security,No,More amenities,Walking trails,Accessibility and inclusivity,No,Public restrooms,Neutral,Rarely,Dissatisfied,Language learning programs,Enhance community engagement
18-35 ,Male,Tirupati,Fair,Neutral,Comfortable seating areas,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Playgrounds,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Dissatisfied,Rarely,Satisfied,E book access,Invest in technology
18-35 ,Male,Tirupati,Good,Somewhat safe,Comfortable seating areas,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Crowding and noise,No,Public restrooms,Very Satisfied,Quarterly,Dissatisfied,E book access,Invest in technology
51-70 ,Female,Chennai,Poor,Somewhat safe,Free Wi-Fi,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Restrooms,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Dissatisfied,Monthly,Very Dissatisfied,E book access,Improve customer service
51-70 ,Female,Mysuru,Poor,Very unsafe,Accessible facilities for people with disabilities,Yes,Everyday,Neutral,Reduced fares or free transfers,No,Increased programming and events,Playgrounds,Maintenance and cleanliness,No,Sports equipment rentals,Very dissatisfied,Quarterly,Satisfied,Language learning programs,Improve customer service
71-95,Male,Kanakapura,Fair,Very unsafe,Free Wi-Fi,Yes,A few times a week,Very satisfied,Reduced fares or free transfers,No,More amenities,Sports facilities,Safety and security,No,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,"DIY workshop(crafting,painting)",Increase transparency
36-50 ,Female,Kanakapura,Fair,Neutral,Baby-changing facilities,No,Everyday,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Sports facilities,Lack of amenities,Sometimes,Electric vehicle charging stations,Very dissatisfied,Quarterly,Very Satisfied,E book access,Increase transparency
36-50 ,Male,Hyderabad,Poor,Somewhat unsafe,Free Wi-Fi,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,E book access,Invest in technology
36-50 ,Female,Tirupati,Good,Somewhat safe,Baby-changing facilities,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Enhance community engagement
18-35 ,Male,Mysuru,Poor,Very unsafe,Comfortable seating areas,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Picnic area,Crowding and noise,No,Sports equipment rentals,Very Satisfied,Monthly,Dissatisfied,Language learning programs,Improve customer service
36-50 ,Male,Tirupati,Excellent,Somewhat unsafe,Comfortable seating areas,Yes,Once a week,Very satisfied,Reduced fares or free transfers,Sometimes,Improved lighting and safety,Sports facilities,Lack of amenities,Yes,Public restrooms,Very dissatisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology
18-35 ,Female,Hyderabad,Good,Somewhat unsafe,Comfortable seating areas,No,A few times a week,Satisfied,More frequent buses/trains,No,Improved lighting and safety,Sports facilities,Safety and security,Yes,Sports equipment rentals,Satisfied,Rarely,Very Satisfied,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Female,Kanakapura,Good,Somewhat safe,Charging stations for phones and devices,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,No,More amenities,Playgrounds,Lack of amenities,Sometimes,Electric vehicle charging stations,Satisfied,Monthly,Satisfied,E book access,Enhance community engagement
36-50 ,Male,Chennai,Fair,Neutral,Comfortable seating areas,No,Never,Unsatisfied,Increased safety and security,No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Satisfied,Quarterly,Dissatisfied,E book access,Invest in technology
36-50 ,Female,Kanakapura,Fair,Neutral,Accessible facilities for people with disabilities,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Restrooms,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Weekly,Very Satisfied,E book access,Invest in technology
36-50 ,Male,Palamaner,Excellent,Neutral,Comfortable seating areas,Yes,A few times a week,Very unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Improved lighting and safety,Walking trails,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Quarterly,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
71-95,Female,Bengaluru,Poor,Very safe,Comfortable seating areas,Yes,A few times a week,Very unsatisfied,Increased safety and security,No,Improved lighting and safety,Picnic area,Safety and security,Yes,Sports equipment rentals,Dissatisfied,Rarely,Satisfied,E book access,Increase transparency
18-35 ,Female,Kolkata,Excellent,Neutral,Accessible facilities for people with disabilities,Yes,Once a week,Neutral,More frequent buses/trains,Yes,Increased programming and events,Picnic area,Lack of amenities,No,Public restrooms,Satisfied,Monthly,Neutral,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Female,Bengaluru,Poor,Somewhat safe,Baby-changing facilities,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Weekly,Very Satisfied,E book access,Enhance community engagement
51-70 ,Female,Chennai,Fair,Very safe,Free Wi-Fi,No,Everyday,Very satisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Satisfied,Quarterly,Neutral,Language learning programs,Enhance community engagement
36-50 ,Male,Tirupati,Good,Somewhat unsafe,Comfortable seating areas,Yes,Once a week,Very unsatisfied,Reduced fares or free transfers,No,More amenities,Sports facilities,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Rarely,Satisfied,"DIY workshop(crafting,painting)",Enhance community engagement
36-50 ,Male,Palamaner,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,Language learning programs,Enhance community engagement
18-35 ,Female,Kolkata,Fair,Somewhat unsafe,Free Wi-Fi,No,Once a week,Satisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Yes,Sports equipment rentals,Very Satisfied,Monthly,Neutral,Language learning programs,Improve customer service
36-50 ,Male,Chennai,Fair,Neutral,Free Wi-Fi,No,Everyday,Neutral,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Sports facilities,Lack of amenities,No,Electric vehicle charging stations,Satisfied,Never,Satisfied,"DIY workshop(crafting,painting)",Invest in technology
18-35 ,Male,Chennai,Good,Somewhat safe,Baby-changing facilities,No,Never,Neutral,Reduced fares or free transfers,No,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Very dissatisfied,Rarely,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
18-35 ,Female,Kanakapura,Fair,Somewhat safe,Free Wi-Fi,No,Once a week,Very satisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,E book access,Improve customer service
36-50 ,Female,Hyderabad,Good,Very safe,Comfortable seating areas,Yes,Never,Unsatisfied,Reduced fares or free transfers,Yes,Improved lighting and safety,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Weekly,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
18-35 ,Female,Mysuru,Fair,Very safe,Comfortable seating areas,Yes,A few times a week,Neutral,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Yes,Public restrooms,Satisfied,Monthly,Satisfied,Language learning programs,Improve customer service
51-70 ,Male,Mysuru,Poor,Somewhat safe,Baby-changing facilities,No,A few times a week,Very unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Playgrounds,Maintenance and cleanliness,No,Sports equipment rentals,Very dissatisfied,Monthly,Dissatisfied,E book access,Improve customer service
18-35 ,Female,Bengaluru,Fair,Somewhat safe,Baby-changing facilities,Yes,Everyday,Unsatisfied,Increased safety and security,No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Enhance community engagement
18-35 ,Male,Bengaluru,Fair,Somewhat unsafe,Free Wi-Fi,No,A few times a week,Very satisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Sports facilities,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Dissatisfied,Language learning programs,Invest in technology
18-35 ,Female,Tirupati,Poor,Somewhat unsafe,Comfortable seating areas,No,A few times a week,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Playgrounds,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Quarterly,Very Satisfied,Language learning programs,Enhance community engagement
51-70 ,Female,Hyderabad,Good,Somewhat safe,Air conditioning or heating,No,Never,Very satisfied,More frequent buses/trains,No,Increased programming and events,Picnic area,Accessibility and inclusivity,Sometimes,Public restrooms,Very Satisfied,Weekly,Satisfied,"DIY workshop(crafting,painting)",Invest in technology
71-95,Male,Mysuru,Good,Somewhat safe,Baby-changing facilities,No,A few times a week,Satisfied,Reduced fares or free transfers,Yes,Increased programming and events,Picnic area,Safety and security,Sometimes,Electric vehicle charging stations,Very Satisfied,Monthly,Dissatisfied,E book access,Improve customer service
18-35 ,Male,Hyderabad,Fair,Neutral,Comfortable seating areas,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Sports facilities,Maintenance and cleanliness,No,Sports equipment rentals,Dissatisfied,Quarterly,Dissatisfied,E book access,Invest in technology
18-35 ,Female,Kolkata,Fair,Neutral,Comfortable seating areas,No,Once a week,Satisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Rarely,Satisfied,"DIY workshop(crafting,painting)",Invest in technology
18-35 ,Male,Kanakapura,Good,Somewhat safe,Free Wi-Fi,Yes,Everyday,Unsatisfied,Reduced fares or free transfers,Yes,More amenities,Sports facilities,Lack of amenities,No,Electric vehicle charging stations,Very dissatisfied,Quarterly,Very Dissatisfied,E book access,Enhance community engagement
36-50 ,Female,Bengaluru,Good,Neutral,Comfortable seating areas,Yes,A few times a week,Satisfied,Increased safety and security,Yes,Improved lighting and safety,Restrooms,Safety and security,No,Electric vehicle charging stations,Very dissatisfied,Quarterly,Very Satisfied,E book access,Enhance community engagement
18-35 ,Female,Kanakapura,Good,Neutral,Free Wi-Fi,No,A few times a week,Very unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Maintenance and cleanliness,Yes,Public restrooms,Dissatisfied,Monthly,Satisfied,E book access,Improve customer service
18-35 ,Male,Hyderabad,Good,Somewhat safe,Comfortable seating areas,Yes,A few times a week,Satisfied,More frequent buses/trains,No,More amenities,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Satisfied,Quarterly,Neutral,Language learning programs,Improve customer service
36-50 ,Female,Mysuru,Excellent,Somewhat unsafe,Baby-changing facilities,Yes,Everyday,Unsatisfied,Reduced fares or free transfers,Sometimes,Improved lighting and safety,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,Language learning programs,Improve customer service
18-35 ,Female,Tirupati,Good,Neutral,Accessible facilities for people with disabilities,No,A few times a week,Unsatisfied,Reduced fares or free transfers,Yes,More amenities,Picnic area,Safety and security,No,Electric vehicle charging stations,Neutral,Rarely,Satisfied,E book access,Enhance community engagement
36-50 ,Male,Hyderabad,Good,Neutral,Free Wi-Fi,No,A few times a week,Very satisfied,Increased safety and security,No,More amenities,Walking trails,Crowding and noise,No,Sports equipment rentals,Dissatisfied,Quarterly,Very Satisfied,Language learning programs,Invest in technology
36-50 ,Female,Mysuru,Fair,Very unsafe,Baby-changing facilities,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,Language learning programs,Improve customer service
18-35 ,Male,Hyderabad,Poor,Very safe,Comfortable seating areas,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Playgrounds,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Very Dissatisfied,E book access,Increase transparency
36-50 ,Female,Chennai,Excellent,Neutral,Accessible facilities for people with disabilities,Yes,Once a week,Neutral,More frequent buses/trains,Sometimes,Better maintenance and cleanliness,Picnic area,Crowding and noise,Sometimes,Sports equipment rentals,Neutral,Rarely,Dissatisfied,E book access,Improve customer service
36-50 ,Female,Kanakapura,Poor,Somewhat safe,Baby-changing facilities,No,Once a week,Unsatisfied,More frequent buses/trains,Yes,Improved lighting and safety,Walking trails,Lack of amenities,Sometimes,Electric vehicle charging stations,Very Satisfied,Quarterly,Neutral,E book access,Improve customer service
71-95,Male,Chennai,Fair,Very safe,Free Wi-Fi,Yes,Once a week,Unsatisfied,Increased safety and security,No,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Quarterly,Dissatisfied,E book access,Enhance community engagement
18-35 ,Male,Mysuru,Good,Somewhat unsafe,Comfortable seating areas,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Sports facilities,Safety and security,Sometimes,Sports equipment rentals,Satisfied,Monthly,Neutral,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Male,Kolkata,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,Never,Neutral,Increased safety and security,No,Increased programming and events,Walking trails,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Very Satisfied,Quarterly,Dissatisfied,E book access,Improve customer service
18-35 ,Male,Chennai,Fair,Somewhat unsafe,Free Wi-Fi,Yes,A few times a week,Neutral,Increased safety and security,Yes,Improved lighting and safety,Walking trails,Maintenance and cleanliness,Yes,Public restrooms,Very dissatisfied,Monthly,Satisfied,Language learning programs,Invest in technology
36-50 ,Female,Chennai,Fair,Neutral,Free Wi-Fi,No,Once a week,Neutral,Reduced fares or free transfers,Yes,More amenities,Picnic area,Crowding and noise,Yes,Sports equipment rentals,Neutral,Quarterly,Neutral,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Female,Kanakapura,Good,Somewhat safe,Baby-changing facilities,No,Never,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Female,Mysuru,Fair,Somewhat safe,Free Wi-Fi,No,A few times a week,Neutral,Reduced fares or free transfers,No,Better maintenance and cleanliness,Walking trails,Safety and security,Yes,Sports equipment rentals,Dissatisfied,Rarely,Satisfied,Language learning programs,Improve customer service
18-35 ,Female,Mysuru,Good,Very safe,Comfortable seating areas,Yes,Once a week,Very unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Monthly,Neutral,Language learning programs,Invest in technology
36-50 ,Male,Mysuru,Fair,Very safe,Comfortable seating areas,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Lack of amenities,Sometimes,Public restrooms,Neutral,Rarely,Neutral,E book access,Improve customer service
18-35 ,Male,Kanakapura,Poor,Somewhat safe,Baby-changing facilities,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Walking trails,Safety and security,No,Electric vehicle charging stations,Satisfied,Never,Neutral,E book access,Improve customer service
36-50 ,Male,Chennai,Fair,Somewhat safe,Baby-changing facilities,No,Once a week,Unsatisfied,Increased safety and security,Yes,Increased programming and events,Walking trails,Lack of amenities,Sometimes,Sports equipment rentals,Neutral,Quarterly,Dissatisfied,E book access,Improve customer service
36-50 ,Male,Kanakapura,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Once a week,Very unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Rarely,Neutral,E book access,Invest in technology
18-35 ,Male,Mysuru,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Monthly,Very Satisfied,E book access,Increase transparency
