age_group,gender,city,toilet_cleanliness,toilet_safety,toilet_features,service_use,service_use_freq,transport_satisfaction,transport_suggestions,park_visiting,park_visit_freq,park_amenities,park_issues,transport_safety,park_suggestions,library_satisfaction,library_visit_freq,local_service_satisfaction,library_suggestions,local_service_suggestions,full_feedback,clean_text
18-35 ,Male,Chennai,Fair,Very unsafe,Baby-changing facilities,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Restrooms,Lack of amenities,Sometimes,Sports equipment rentals,Neutral,Quarterly,Neutral,"DIY workshop(crafting,painting)",Increase transparency,"Cleaner, more comfortable vehicles Sports equipment rentals DIY workshop(crafting,painting) Increase transparency Neutral Fair Very unsafe No Satisfied",clean comfortable vehicle sport equipment rental diy painting increase transparency neutral fair unsafe satisfied
36-50 ,Male,Kanakapura,Poor,Very safe,Comfortable seating areas,Yes,A few times a week,Unsatisfied,Increased safety and security,Yes,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Rarely,Satisfied,"DIY workshop(crafting,painting)",Improve customer service,"Increased safety and security Sports equipment rentals DIY workshop(crafting,painting) Improve customer service Satisfied Poor Very safe Yes Unsatisfied",increase safety security sport equipment rental diy painting improve customer service satisfy poor safe yes unsatisfie
36-50 ,Male,Kanakapura,Excellent,Neutral,Accessible facilities for people with disabilities,No,Once a week,Neutral,Increased safety and security,Yes,Improved lighting and safety,Walking trails,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,E book access,Invest in technology,Increased safety and security Electric vehicle charging stations E book access Invest in technology Neutral Excellent Neutral No Neutral,increase safety security electric vehicle charge station e book access invest technology neutral excellent neutral neutral
36-50 ,Male,Kanakapura,Poor,Somewhat safe,Baby-changing facilities,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,More amenities,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Quarterly,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Neutral Poor Somewhat safe Yes Neutral",clean comfortable vehicle electric vehicle charge station e book access improve customer service neutral poor somewhat safe yes neutral
36-50 ,Male,Hyderabad,Fair,Very safe,Free Wi-Fi,Yes,Once a week,Neutral,Reduced fares or free transfers,No,More amenities,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Quarterly,Neutral,E book access,Invest in technology,Reduced fares or free transfers Sports equipment rentals E book access Invest in technology Neutral Fair Very safe Yes Neutral,reduce fare free transfer sport equipment rental e book access invest technology neutral fair safe yes neutral
36-50 ,Female,Kanakapura,Good,Somewhat unsafe,Comfortable seating areas,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Monthly,Dissatisfied,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Invest in technology Dissatisfied Good Somewhat unsafe Yes Neutral",clean comfortable vehicle electric vehicle charge station language learning program invest technology dissatisfied good somewhat unsafe yes neutral
51-70 ,Male,Chennai,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Invest in technology Neutral Good Somewhat safe Yes Unsatisfied",clean comfortable vehicle electric vehicle charge station language learning program invest technology neutral good somewhat safe yes unsatisfie
36-50 ,Female,Chennai,Fair,Somewhat unsafe,Free Wi-Fi,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Quarterly,Dissatisfied,Language learning programs,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Improve customer service Dissatisfied Fair Somewhat unsafe Yes Unsatisfied",clean comfortable vehicle electric vehicle charge station language learning program improve customer service dissatisfy fair somewhat unsafe yes unsatisfie
18-35 ,Male,Bengaluru,Fair,Neutral,Free Wi-Fi,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Lack of amenities,Sometimes,Electric vehicle charging stations,Very dissatisfied,Quarterly,Neutral,E book access,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Invest in technology Neutral Fair Neutral Yes Neutral",clean comfortable vehicle electric vehicle charge station e book access invest technology neutral fair neutral yes neutral
18-35 ,Male,Chennai,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Public restrooms,Dissatisfied,Quarterly,Neutral,E book access,Invest in technology,"Cleaner, more comfortable vehicles Public restrooms E book access Invest in technology Neutral Good Somewhat safe No Neutral",clean comfortable vehicle public restroom e book access invest technology neutral good somewhat safe neutral
36-50 ,Male,Kanakapura,Fair,Somewhat safe,Free Wi-Fi,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Dissatisfied,Monthly,Very Satisfied,Language learning programs,Enhance community engagement,Reduced fares or free transfers Sports equipment rentals Language learning programs Enhance community engagement Very Satisfied Fair Somewhat safe Yes Unsatisfied,reduce fare free transfer sport equipment rental language learning program enhance community engagement satisfied fair somewhat safe yes unsatisfie
36-50 ,Female,Mysuru,Good,Very safe,Comfortable seating areas,Yes,Once a week,Neutral,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Walking trails,Lack of amenities,Sometimes,Electric vehicle charging stations,Neutral,Rarely,Neutral,Language learning programs,Invest in technology,Reduced fares or free transfers Electric vehicle charging stations Language learning programs Invest in technology Neutral Good Very safe Yes Neutral,reduce fare free transfer electric vehicle charge station language learning program invest technology neutral good safe yes neutral
18-35 ,Female,Mysuru,Fair,Very safe,Comfortable seating areas,Yes,A few times a week,Neutral,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Safety and security,No,Public restrooms,Dissatisfied,Rarely,Neutral,E book access,Enhance community engagement,Reduced fares or free transfers Public restrooms E book access Enhance community engagement Neutral Fair Very safe Yes Neutral,reduce fare free transfer public restroom e book access enhance community engagement neutral fair safe yes neutral
36-50 ,Male,Kanakapura,Poor,Somewhat safe,Baby-changing facilities,Yes,Once a week,Satisfied,Reduced fares or free transfers,No,More amenities,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,Language learning programs,Invest in technology,Reduced fares or free transfers Electric vehicle charging stations Language learning programs Invest in technology Neutral Poor Somewhat safe Yes Satisfied,reduce fare free transfer electric vehicle charge station language learning program invest technology neutral poor somewhat safe yes satisfied
36-50 ,Female,Chennai,Fair,Somewhat safe,Baby-changing facilities,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Yes,Sports equipment rentals,Dissatisfied,Quarterly,Dissatisfied,E book access,Increase transparency,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Increase transparency Dissatisfied Fair Somewhat safe No Neutral",clean comfortable vehicle sport equipment rental e book access increase transparency dissatisfy fair somewhat safe neutral
36-50 ,Male,Kanakapura,Fair,Somewhat unsafe,Free Wi-Fi,No,Once a week,Satisfied,Reduced fares or free transfers,Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Rarely,Very Satisfied,E book access,Invest in technology,Reduced fares or free transfers Sports equipment rentals E book access Invest in technology Very Satisfied Fair Somewhat unsafe No Satisfied,reduce fare free transfer sport equipment rental e book access invest technology satisfied fair somewhat unsafe satisfied
36-50 ,Female,Kanakapura,Poor,Somewhat unsafe,Comfortable seating areas,No,Never,Neutral,Increased safety and security,Yes,Better maintenance and cleanliness,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Quarterly,Dissatisfied,E book access,Increase transparency,Increased safety and security Sports equipment rentals E book access Increase transparency Dissatisfied Poor Somewhat unsafe No Neutral,increase safety security sport equipment rental e book access increase transparency dissatisfy poor somewhat unsafe neutral
36-50 ,Male,Andhra Pradesh,Good,Somewhat safe,Air conditioning or heating,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Sports facilities,Safety and security,Yes,Sports equipment rentals,Neutral,Rarely,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Improve customer service Neutral Good Somewhat safe Yes Neutral",clean comfortable vehicle sport equipment rental e book access improve customer service neutral good somewhat safe yes neutral
36-50 ,Female,Chennai,Good,Somewhat safe,Baby-changing facilities,Yes,Once a week,Neutral,Increased safety and security,No,Better maintenance and cleanliness,Picnic area,Lack of amenities,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Satisfied,Language learning programs,Improve customer service,Increased safety and security Electric vehicle charging stations Language learning programs Improve customer service Satisfied Good Somewhat safe Yes Neutral,increase safety security electric vehicle charge station language learning program improve customer service satisfied good somewhat safe yes neutral
Oct-18,Male,Kanakapura,Fair,Neutral,Comfortable seating areas,Yes,A few times a week,Satisfied,Reduced fares or free transfers,Sometimes,Better maintenance and cleanliness,Walking trails,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Neutral,Monthly,Dissatisfied,Language learning programs,Invest in technology,Reduced fares or free transfers Sports equipment rentals Language learning programs Invest in technology Dissatisfied Fair Neutral Yes Satisfied,reduce fare free transfer sport equipment rental language learning program invest technology dissatisfied fair neutral yes satisfy
36-50 ,Female,Hyderabad,Fair,Neutral,Comfortable seating areas,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Rarely,Neutral,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Sports equipment rentals Language learning programs Invest in technology Neutral Fair Neutral No Neutral",clean comfortable vehicle sport equipment rental language learning program invest technology neutral fair neutral neutral
36-50 ,Female,Mysuru,Good,Somewhat safe,Free Wi-Fi,Yes,Never,Neutral,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Picnic area,Lack of amenities,Sometimes,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Increase transparency,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Increase transparency Neutral Good Somewhat safe Yes Neutral",clean comfortable vehicle sport equipment rental e book access increase transparency neutral good somewhat safe yes neutral
36-50 ,Female,Hyderabad,Good,Neutral,Comfortable seating areas,Yes,Everyday,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Restrooms,Crowding and noise,Sometimes,Electric vehicle charging stations,Neutral,Monthly,Dissatisfied,E book access,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations E book access Improve customer service Dissatisfied Good Neutral Yes Unsatisfied,reduce fare free transfer electric vehicle charge station e book access improve customer service dissatisfied good neutral yes unsatisfie
18-35 ,Female,Mysuru,Good,Neutral,Free Wi-Fi,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,E book access,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Invest in technology Satisfied Good Neutral No Neutral",clean comfortable vehicle electric vehicle charge station e book access invest technology satisfied good neutral neutral
18-35 ,Female,Kanakapura,Good,Somewhat safe,Comfortable seating areas,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Rarely,Dissatisfied,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Sports equipment rentals Language learning programs Invest in technology Dissatisfied Good Somewhat safe No Neutral",clean comfortable vehicle sport equipment rental language learning program invest technology dissatisfied good somewhat safe neutral
Oct-18,Male,Mysuru,Excellent,Somewhat unsafe,Baby-changing facilities,Yes,Once a week,Very unsatisfied,Reduced fares or free transfers,Yes,Increased programming and events,Picnic area,Accessibility and inclusivity,No,Public restrooms,Very Satisfied,Quarterly,Neutral,"DIY workshop(crafting,painting)",Invest in technology,"Reduced fares or free transfers Public restrooms DIY workshop(crafting,painting) Invest in technology Neutral Excellent Somewhat unsafe Yes Very unsatisfied",reduce fare free transfer public restroom diy painting invest technology neutral excellent somewhat unsafe yes unsatisfied
51-70 ,Female,Chennai,Good,Neutral,Accessible facilities for people with disabilities,No,Never,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Lack of amenities,Sometimes,Sports equipment rentals,Dissatisfied,Quarterly,Dissatisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Improve customer service Dissatisfied Good Neutral No Neutral",clean comfortable vehicle sport equipment rental e book access improve customer service dissatisfied good neutral neutral
18-35 ,Male,Kanakapura,Good,Neutral,Free Wi-Fi,No,Never,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Increase transparency,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Increase transparency Neutral Good Neutral No Neutral",clean comfortable vehicle sport equipment rental e book access increase transparency neutral good neutral neutral
36-50 ,Female,Palamaner,Fair,Very unsafe,Baby-changing facilities,Yes,Once a week,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Rarely,Neutral,E book access,Invest in technology,Reduced fares or free transfers Sports equipment rentals E book access Invest in technology Neutral Fair Very unsafe Yes Neutral,reduce fare free transfer sport equipment rental e book access invest technology neutral fair unsafe yes neutral
36-50 ,Female,Kanakapura,Fair,Neutral,Comfortable seating areas,No,Never,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Sports facilities,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Satisfied Fair Neutral No Unsatisfied",clean comfortable vehicle electric vehicle charge station e book access improve customer service satisfied fair neutral unsatisfied
18-35 ,Male,Mysuru,Fair,Neutral,Accessible facilities for people with disabilities,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Picnic area,Lack of amenities,No,Sports equipment rentals,Neutral,Rarely,Dissatisfied,E book access,Invest in technology,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Invest in technology Dissatisfied Fair Neutral No Neutral",clean comfortable vehicle sport equipment rental e book access invest technology dissatisfied fair neutral neutral
36-50 ,Female,Mysuru,Excellent,Neutral,Comfortable seating areas,No,Everyday,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Lack of amenities,Sometimes,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,Language learning programs,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Improve customer service Neutral Excellent Neutral No Satisfied",clean comfortable vehicle electric vehicle charge station language learning program improve customer service neutral excellent neutral satisfied
36-50 ,Male,Kanakapura,Poor,Very safe,Comfortable seating areas,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Restrooms,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Rarely,Dissatisfied,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Sports equipment rentals Language learning programs Invest in technology Dissatisfied Poor Very safe No Neutral",clean comfortable vehicle sport equipment rental language learning program invest technology dissatisfied poor safe neutral
36-50 ,Male,Hyderabad,Excellent,Neutral,Accessible facilities for people with disabilities,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Satisfied,Quarterly,Neutral,"DIY workshop(crafting,painting)",Invest in technology,"Cleaner, more comfortable vehicles Sports equipment rentals DIY workshop(crafting,painting) Invest in technology Neutral Excellent Neutral Yes Unsatisfied",clean comfortable vehicle sport equipment rental diy painting invest technology neutral excellent neutral yes unsatisfie
51-70 ,Female,Hyderabad,Poor,Somewhat safe,Baby-changing facilities,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Neutral Poor Somewhat safe No Unsatisfied",clean comfortable vehicle electric vehicle charge station e book access improve customer service neutral poor somewhat safe unsatisfied
18-35 ,Female,Mysuru,Fair,Very safe,Free Wi-Fi,No,Once a week,Neutral,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Very dissatisfied,Quarterly,Satisfied,E book access,Invest in technology,Reduced fares or free transfers Sports equipment rentals E book access Invest in technology Satisfied Fair Very safe No Neutral,reduce fare free transfer sport equipment rental e book access invest technology satisfied fair safe neutral
18-35 ,Female,Kanakapura,Good,Somewhat unsafe,Comfortable seating areas,No,Once a week,Satisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Sports facilities,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,E book access,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations E book access Improve customer service Neutral Good Somewhat unsafe No Satisfied,reduce fare free transfer electric vehicle charge station e book access improve customer service neutral good somewhat unsafe satisfied
36-50 ,Male,Mysuru,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Walking trails,Crowding and noise,No,Sports equipment rentals,Satisfied,Quarterly,Satisfied,E book access,Invest in technology,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Invest in technology Satisfied Good Somewhat safe Yes Neutral",clean comfortable vehicle sport equipment rental e book access invest technology satisfied good somewhat safe yes neutral
18-35 ,Male,Kanakapura,Fair,Somewhat unsafe,Free Wi-Fi,Yes,A few times a week,Neutral,Reduced fares or free transfers,No,More amenities,Walking trails,Lack of amenities,No,Sports equipment rentals,Neutral,Quarterly,Neutral,"DIY workshop(crafting,painting)",Increase transparency,"Reduced fares or free transfers Sports equipment rentals DIY workshop(crafting,painting) Increase transparency Neutral Fair Somewhat unsafe Yes Neutral",reduce fare free transfer sport equipment rental diy painting increase transparency neutral fair somewhat unsafe yes neutral
36-50 ,Male,Kanakapura,Fair,Neutral,Free Wi-Fi,Yes,Once a week,Neutral,Increased safety and security,No,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Invest in technology,Increased safety and security Sports equipment rentals E book access Invest in technology Neutral Fair Neutral Yes Neutral,increase safety security sport equipment rental e book access invest technology neutral fair neutral yes neutral
18-35 ,Male,Kanakapura,Good,Somewhat safe,Baby-changing facilities,No,Never,Satisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Sports facilities,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Neutral Good Somewhat safe No Satisfied",clean comfortable vehicle electric vehicle charge station e book access improve customer service neutral good somewhat safe satisfied
18-35 ,Female,Kanakapura,Fair,Somewhat safe,Free Wi-Fi,No,Everyday,Satisfied,Reduced fares or free transfers,No,More amenities,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Weekly,Neutral,Language learning programs,Invest in technology,Reduced fares or free transfers Sports equipment rentals Language learning programs Invest in technology Neutral Fair Somewhat safe No Satisfied,reduce fare free transfer sport equipment rental language learning program invest technology neutral fair somewhat safe satisfied
18-35 ,Female,Mysuru,Good,Very safe,Comfortable seating areas,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Playgrounds,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Monthly,Neutral,Language learning programs,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Improve customer service Neutral Good Very safe Yes Unsatisfied",clean comfortable vehicle electric vehicle charge station language learning program improve customer service neutral good safe yes unsatisfie
18-35 ,Male,Kanakapura,Fair,Very safe,Comfortable seating areas,No,Once a week,Very satisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Picnic area,Lack of amenities,Sometimes,Electric vehicle charging stations,Satisfied,Rarely,Very Satisfied,"DIY workshop(crafting,painting)",Increase transparency,"Cleaner, more comfortable vehicles Electric vehicle charging stations DIY workshop(crafting,painting) Increase transparency Very Satisfied Fair Very safe No Very satisfied",clean comfortable vehicle electric vehicle charge station diy painting increase transparency satisfied fair safe satisfied
36-50 ,Female,Kanakapura,Poor,Somewhat safe,Baby-changing facilities,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Invest in technology,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Invest in technology Neutral Poor Somewhat safe Yes Satisfied",clean comfortable vehicle sport equipment rental e book access invest technology neutral poor somewhat safe yes satisfied
36-50 ,Male,Kanakapura,Fair,Somewhat safe,Baby-changing facilities,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Sports equipment rentals,Neutral,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Increase transparency,"Cleaner, more comfortable vehicles Sports equipment rentals DIY workshop(crafting,painting) Increase transparency Very Satisfied Fair Somewhat safe No Unsatisfied",clean comfortable vehicle sport equipment rental diy painting increase transparency satisfied fair somewhat safe unsatisfied
Oct-18,Male,Hyderabad,Fair,Somewhat unsafe,Free Wi-Fi,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Maintenance and cleanliness,Yes,Sports equipment rentals,Neutral,Quarterly,Dissatisfied,E book access,Enhance community engagement,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Enhance community engagement Dissatisfied Fair Somewhat unsafe Yes Neutral",clean comfortable vehicle sport equipment rental e book access enhance community engagement dissatisfied fair somewhat unsafe yes neutral
36-50 ,Female,Chennai,Poor,Somewhat unsafe,Comfortable seating areas,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations DIY workshop(crafting,painting) Improve customer service Dissatisfied Poor Somewhat unsafe Yes Satisfied",clean comfortable vehicle electric vehicle charge station diy painting improve customer service dissatisfied poor somewhat unsafe yes satisfied
18-35 ,Male,Mysuru,Good,Somewhat safe,Air conditioning or heating,Yes,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Better maintenance and cleanliness,Sports facilities,Lack of amenities,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,E book access,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations E book access Improve customer service Neutral Good Somewhat safe Yes Neutral,reduce fare free transfer electric vehicle charge station e book access improve customer service neutral good somewhat safe yes neutral
36-50 ,Female,Mysuru,Good,Somewhat safe,Baby-changing facilities,No,Never,Neutral,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Walking trails,Maintenance and cleanliness,Yes,Sports equipment rentals,Neutral,Monthly,Very Dissatisfied,Language learning programs,Increase transparency,"Cleaner, more comfortable vehicles Sports equipment rentals Language learning programs Increase transparency Very Dissatisfied Good Somewhat safe No Neutral",clean comfortable vehicle sport equipment rental language learning program increase transparency dissatisfied good somewhat safe neutral
36-50 ,Female,Palamaner,Fair,Neutral,Comfortable seating areas,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Picnic area,Lack of amenities,Sometimes,Sports equipment rentals,Dissatisfied,Weekly,Neutral,Language learning programs,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals Language learning programs Improve customer service Neutral Fair Neutral Yes Unsatisfied",clean comfortable vehicle sport equipment rental language learning program improve customer service neutral fair neutral yes unsatisfie
36-50 ,Male,Kanakapura,Fair,Neutral,Comfortable seating areas,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Sports facilities,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,"DIY workshop(crafting,painting)",Increase transparency,"Cleaner, more comfortable vehicles Sports equipment rentals DIY workshop(crafting,painting) Increase transparency Neutral Fair Neutral No Unsatisfied",clean comfortable vehicle sport equipment rental diy painting increase transparency neutral fair neutral unsatisfied
36-50 ,Male,Mysuru,Good,Somewhat safe,Free Wi-Fi,Yes,Once a week,Neutral,Reduced fares or free transfers,No,Better maintenance and cleanliness,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Monthly,Neutral,Language learning programs,Invest in technology,Reduced fares or free transfers Sports equipment rentals Language learning programs Invest in technology Neutral Good Somewhat safe Yes Neutral,reduce fare free transfer sport equipment rental language learning program invest technology neutral good somewhat safe yes neutral
18-35 ,Male,Mysuru,Good,Neutral,Comfortable seating areas,Yes,Once a week,Satisfied,Reduced fares or free transfers,Yes,More amenities,Walking trails,Maintenance and cleanliness,Yes,Public restrooms,Neutral,Rarely,Neutral,E book access,Increase transparency,Reduced fares or free transfers Public restrooms E book access Increase transparency Neutral Good Neutral Yes Satisfied,reduce fare free transfer public restroom e book access increase transparency neutral good neutral yes satisfy
36-50 ,Male,Mysuru,Good,Neutral,Free Wi-Fi,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Sports facilities,Lack of amenities,Yes,Sports equipment rentals,Very Satisfied,Monthly,Satisfied,"DIY workshop(crafting,painting)",Invest in technology,"Cleaner, more comfortable vehicles Sports equipment rentals DIY workshop(crafting,painting) Invest in technology Satisfied Good Neutral Yes Neutral",clean comfortable vehicle sport equipment rental diy painting invest technology satisfied good neutral yes neutral
51-70 ,Male,Hyderabad,Good,Somewhat safe,Comfortable seating areas,No,Once a week,Satisfied,Increased safety and security,Sometimes,Increased programming and events,Walking trails,Lack of amenities,Sometimes,Electric vehicle charging stations,Satisfied,Monthly,Dissatisfied,E book access,Improve customer service,Increased safety and security Electric vehicle charging stations E book access Improve customer service Dissatisfied Good Somewhat safe No Satisfied,increase safety security electric vehicle charge station e book access improve customer service dissatisfied good somewhat safe satisfied
36-50 ,Male,Mysuru,Excellent,Somewhat unsafe,Baby-changing facilities,No,A few times a week,Very unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Rarely,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Improve customer service Neutral Excellent Somewhat unsafe No Very unsatisfied",clean comfortable vehicle sport equipment rental e book access improve customer service neutral excellent somewhat unsafe unsatisfied
